q1,q2,v1,v2,relation
6FPQ,PVSAM,Agreeableness,Risk,0
CAT-PD,MFT08,Self Harm,Purity,0
AHS,HEXACO,Contradiction:Formal Logic,Flexibility,0
VHMD,TCI,Opportunity,Cooperativeness,0
CAT-PD,HEXACO,Domineering,Diligence,0
AB5C,PVQ40,Tenderness,Stimulation,0
6FPQ,VSD,Seriousness,Accountability,0
CAT-PD,6FPQ,Unusual Experiences,Independence,0
AB5C,TCI,Impulse Control,Pure-hearted Conscience,0
AB5C,CES,Purposefulness,Helping,0
6FPQ,6FPQ,Endurance,Breadth of Interest,0
AHS,LTO,Perception of Change:Linear,Tradition,0
CAT-PD,HEXACO,Submissiveness,Flexibility,0
SVS,PVQ40,Clean ,Self-Direction,0
PVSAM,RV,Risk,Wisdom,0
LOV,VHMD,Self-Fulfillment,Ownership Welfare,0
LOV,MMS,Warm Relationships,Special Consideration,0
SVS,PVSAM,Self-respect ,Change,0
MMS,PVSAM,Organizational Responsibility,Autonomy,0
IRI,SVO,Empathic Concern,Openness,0
TCI,SVO, Fear of Uncertainty ,Autonomy,0
AB5C,MFT08,Intellect,Purity,0
VSD,PVQ40,"Calmness, ",Universalism,0
PVSAM,JPI,Industry Leadership,Complexity,0
SVO,PVQ40,Forgiveness,Caring,0
BIS_BAS,VHMD,Drive,Consumer Welfare,0
TCI,SVS, Dependence ,Conformity,0
AHS,6FPQ,Causality:Interactionism,Methodicalness,0
VSM13,TCI,Femininity,Empathy,0
PVSAM,MFT23,High Productivity,Purity,0
VSD,SVS,Accountability,Wealth ,0
AHS,MFT23,Holistic Thinking,Loyalty,0
MMS,MFT08,Organizational Responsibility,Care,0
SVS,AB5C,A Varied Life ,Organization,0
MFT23,SVS,Proportionality,Loyal ,0
SVS,CAT-PD,Honest ,Unusual Beliefs,0
CAT-PD,MFT23,Romantic Disinterest,Equality,0
PVSAM,SVS,Authority,Responsible ,0
VHMD,Buss1980,Individual Welfare,Private Self-Consciousness,0
PVSAM,SVS,Religion,Social Justice ,0
RV,CAT-PD,Obedient ,Domineering,0
AHS,CAT-PD,Attention:Field,Irresponsibility,0
PVQ40,SVS,Power:Resources,A Varied Life ,0
RV,VSD,Imaginative ,Environmental Sustainability,0
6FPQ,MMS,Even-Tempered,Corporate Social Responsibility,0
IRI,VHMD,Fantasy,Allocation of Resources,0
SVS,CAT-PD,A Spiritual Life ,Rudeness,0
PVSAM,AB5C,Conservatism,Efficiency,0
