questionnaire,value,definition,,,,,,,,,
NFCC1993,Preference for Order and Structure,Persons desire definite order and structure in their lives and abhor unconstrained chaos and disorder. ,,,,,,,,,
NFCC1993,Preference for Predictability,Persons desire the trans-situational-consistency implication of secure knowledge\, affording predictability to future contexts.,,,,,,,,
NFCC1993,Decisiveness,Persons with urgency of striving for closure in judgment and decision making,,,,,,,,,
NFCC1993,Discomfort with Ambiguity,Persons with a high need for closure would experience as aversive situations devoid of closure\, in which their motivation is frustrated. ,,,,,,,,
NFCC1993,Closed-Mindedness,Persons with the desire for secure closure may induce\, that is\, an unwillingness to have one's knowledge confronted (hence\, rendered insecure) by alternative opinions or inconsistent evidence.,,,,,,
NFCC1993,Need for Cognitive Closure,An individual?? desire for a definitive answer to a question as opposed to ambiguity.,,,,,,,,,
LTO,Tradition,Persons with respect for tradition and learning from the past.,,,,,,,,,
LTO,Planning,Persons value planning for the future.,,,,,,,,,
LTO,Long Term Orientation,Long Term Orientation stands for a society which fosters virtues oriented towards future rewards\, in particular adaptation\, perseverance and thrift.,,,,,,,
VSM13,Power Distance,Power Distance is defined as the extent to which the less powerful members of institutions and organizations within a society expect and accept that power is distributed unequally.,,,,,,,,,
VSM13,Individualism,Individualism stands for a society in which the ties between individuals are loose: a person is expected to look after himself or herself and his or her immediate family only.,,,,,,,,,
VSM13,Collectivism,Collectivism stands for a society in which people from birth onwards are integrated into strong\, cohesive in-groups\, which continue to protect them throughout their lifetime in exchange for unquestioning loyalty.,,,,,,,
VSM13,Masculinity,Masculinity stands for a society in which social gender roles are clearly distinct: men are supposed to be assertive\, tough\, and focused on material success; women are supposed to be more modest\, tender\, and concerned with the quality of life.,,,,,
VSM13,Femininity,Femininity stands for a society in which social gender roles overlap: both men and women are supposed to be modest\, tender\, and concerned with the quality of life.,,,,,,,
VSM13,Uncertainty Avoidance,Uncertainty Avoidance is defined as the extent to which the members of institutions and organizations within a society feel threatened by uncertain\, unknown\, ambiguous\, or unstructured situations.,,,,,,
VSM13,Long Term Orientation,Long Term Orientation stands for a society which fosters virtues oriented towards future rewards\, in particular adaptation\, perseverance and thrift.,,,,,,,
VSM13,Short Term Orientation,Short Term orientation stands for a society which fosters virtues related to the past and present\, in particular respect for tradition\, preservation of ??ace??, and fulfilling social obligations.,,,,,,
VSM13,Indulgence,Indulgence stands for a society which allows relatively free gratification of some desires and feelings\, especially those that have to do with leisure\, merrymaking with friends\, spending\, consumption and sex.,,,,,
VSM13,Restraint, Restraint stands for a society which controls such gratification\, and where people feel less able to enjoy their lives.,,,,,,,,
UA,Uncertainty Avoidance,Uncertainty Avoidance is defined as the extent to which the members of institutions and organizations within a society feel threatened by uncertain\, unknown\, ambiguous\, or unstructured situations.,,,,,,
PVQ40,Conformity,The restraint of actions\, inclinations\, and impulses that are likely to upset or harm others and violate social expectations or norms.,,,,,,,
PVQ40,Tradition,Respect\, commitment\, and acceptance of the customs and ideas that traditional culture or religion provides.,,,,,,,
PVQ40,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,,,,,,,
PVQ40,Universalism,Understanding\, appreciation\, tolerance\, and protection for the welfare of all people and of nature.,,,,,,
PVQ40,Self-Direction,Independent thought and action\, choosing\, creating\, and exploring.,,,,,,
PVQ40,Stimulation,Excitement\, novelty\, and challenge in life.,,,,,,,
PVQ40,Hedonism,Pleasure and sensuous gratification for oneself.,,,,,,,,,
PVQ40,Achievement,Personal success through demonstrating competence according to social standards.,,,,,,,,,
PVQ40,Power,Control or dominance over people and resources.,,,,,,,,,
PVQ40,Security,Safety\, harmony\, and stability of society\, relationships\, and self.,,,,,
PVQ40,Self-Transcendence,Combine means for universalism and benevolence.,,,,,,,,,
PVQ40,Self-Enhancement ,Combine means for achievement and power.,,,,,,,,,
PVQ40,Openness to Change,Combine means for self-direction\, stimulation and hedonism.,,,,,,,,
PVQ40,Conservation,Combine means for security\, conformity and tradition.,,,,,,,,
PVQ40,Dependability ,Being a reliable and trustworthy member of the in-group.,,,,,,,,,
PVQ40,Caring,Devotion to the welfare of in-group members.,,,,,,,,,
PVQ40,Tolerance,Acceptance and understanding of those who are different from oneself.,,,,,,,,,
PVQ40,Concern,Commitment to equality\, justice\, and protection for all people.,,,,,,,
PVQ40,Nature,Preservation of the natural environment.,,,,,,,,,
PVQ40,Humility,Recognizing one?? insignificance in the larger scheme of things.,,,,,,,,,
PVQ40,Conformity:Interpersonal,Avoidance of upsetting or harming other people.,,,,,,,,,
PVQ40,Conformity:Rules,Compliance with rules\, laws\, and formal obligations.,,,,,,,
PVQ40,Security:Societal,Safety and stability in the wider society.,,,,,,,,,
PVQ40,Security:Personal,Safety in one?? immediate environment.,,,,,,,,,
PVQ40,Face,Security and power through maintaining one?? public image and avoiding humiliation.,,,,,,,,,
PVQ40,Power:Resources,Power through control of material and social resources.,,,,,,,,,
PVQ40,Power:Dominance,Power through exercising control over people.,,,,,,,,,
PVQ40,Self-Direction:Action,The freedom to determine one?? own actions.,,,,,,,,,
PVQ40,Self-Direction:Thought,The freedom to cultivate one?? own ideas and abilities.,,,,,,,,,
CSF,Desire to Gain Face,Have social performance goes above and beyond social expectations on oneself,,,,,,,,,
CSF,Fear of Losing Face,Avoidance of falling below the minimum level considered acceptable for one?? social position,,,,,,,,,
CSF,Consciousness of Social Face,Desire to convey acceptable public images of oneself and likewise to assist other people in maintaining their social identities.,,,,,,,,,
EACS,Emotional Processing,Attempting to understand\, explore and acknowledge one's own emotions.,,,,,,,,
EACS,Emotional Expression,Volitional expression of one's own emotions.,,,,,,,,,
AHS,Analytic Thinking,Assumption that the universe as composed of independent objects.,,,,,,,,,
AHS,Holistic Thinking,Assumption that every element in the world is somehow interconnected.,,,,,,,,,
AHS,Attention:Field,One's attention tends to be oriented toward the relationship between objects and the field to which those objects belong. ,,,,,,,,,
AHS,Attention:Parts,One's attention tends to be oriented toward  an object itself rather than on the field to which it belongs.,,,,,,,,,
AHS,Causality:Interactionism,One assumes the presence of complex causalities and focus more on the relationships and interactions between an actor and his or her surrounding situations.,,,,,,,,,
AHS,Causality:Dispositionism,One primarily considers the internal dispositions of an actor.,,,,,,,,,
AHS,Perception of Change:Cyclic,A cyclical view that assumes constant fluctuations.,,,,,,,,,
AHS,Perception of Change:Linear,A linear perspective that expects similar patterns of change or stability as have been displayed in the past.,,,,,,,,,
AHS,Contradiction:Naive Dialecticism,One resolves contradictions by pursuing a compromised middle ground. ,,,,,,,,,
AHS,Contradiction:Formal Logic,One resolves contradictions by choosing one of the two opposite propositions.,,,,,,,,,
IRI,Perspective Taking,The tendency to spontaneously adopt the psychological point of view of others.,,,,,,,,,
IRI,Fantasy,Taps respondents' tendencies to transpose themselves imaginatively into the feelings and actions of fictitious characters in books\, movies\, and play.,,,,,,,
IRI,Empathic Concern,"Assesses ""other-oriented"" feelings of sympathy and concern for unfortunate others.",,,,,,,,,
IRI,Personal Distress,"Measures ""self-oriented"" feelings of personal anxiety and unease in tense interpersonal settings.",,,,,,,,,
HEXACO,Sincerity,Assesses a tendency to be genuine in interpersonal relations. Low scorers will flatter others or pretend to like them in order to obtain favors\, whereas high scorers are unwilling to manipulate others.,,,,,,,,
HEXACO,Fairness,Assesses a tendency to avoid fraud and corruption. Low scorers are willing to gain by cheating or stealing\, whereas high scorers are unwilling to take advantage of other individuals or of society at large.,,,,,,,,
HEXACO,Greed Avoidance?,Assesses a tendency to be uninterested in possessing lavish wealth\, luxury goods\, and signs of high social status. Low scorers want to enjoy and to display wealth and privilege\, whereas high scorers are not especially motivated by monetary or social-status considerations.,,,,,,
HEXACO,Modesty,Assesses a tendency to be modest and unassuming. Low scorers consider themselves as superior and as entitled to privileges that others do not have\, whereas high scorers view themselves as ordinary people without any claim to special treatment.,,,,,,,,
HEXACO,Honesty-Humility,Persons with very high scores on the Honesty-Humility scale avoid manipulating others for personal gain\, feel little temptation to break rules\, are uninterested in lavish wealth and luxuries\, and feel no special entitlement to elevated social status. Conversely\, persons with very low scores on this scale will flatter others to get what they want\, are inclined to break rules for personal profit\, are motivated by material gain\, and feel a strong sense of self-importance.,,
HEXACO,Fearfulness,Assesses a tendency to experience fear. Low scorers feel little fear of injury and are relatively tough\, brave\, and insensitive to physical pain\, whereas high scorers are strongly inclined to avoid physical harm.,,,,,,
HEXACO,Anxiety,Assesses a tendency to worry in a variety of contexts. Low scorers feel little stress in response to difficulties\, whereas high scorers tend to become preoccupied even by relatively minor problems.,,,,,,,,
HEXACO,Dependence,Assesses one's need for emotional support from others. Low scorers feel self-assured and able to deal with problems without any help or advice\, whereas high scorers want to share their difficulties with those who will provide encouragement and comfort.,,,,,,,,
HEXACO,Sentimentality,Assesses a tendency to feel strong emotional bonds with others. Low scorers feel little emotion when saying good-bye or in reaction to the concerns of others\, whereas high scorers feel strong emotional attachments and an empathic sensitivity to the feelings of others.,,,,,,,,
HEXACO,Emotionality,Persons with very high scores on the Emotionality scale experience fear of physical dangers\, experience anxiety in response to life's stresses\, feel a need for emotional support from others\, and feel empathy and sentimental attachments with others. Conversely\, persons with very low scores on this scale are not deterred by the prospect of physical harm\, feel little worry even in stressful situations\, have little need to share their concerns with others\, and feel emotionally detached from others.,,
